Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BOOT,BOOT,SW_SPST_EVQP2_MiddlePushTravel_H2.5mm,21.6,-65.4,180.0,top
C1,4.7uF,C_0805_2012Metric,47.73,-26.478333,180.0,bottom
C10,8pF,C_0805_2012Metric,21.25,-36.0,0.0,bottom
C11,8pF,C_0805_2012Metric,27.0,-36.0,0.0,bottom
C12,1uF,C_0805_2012Metric,15.1,-44.708,180.0,top
C13,0.1uF,C_0805_2012Metric,32.4,-39.6,180.0,top
C14,0.1uF,C_0805_2012Metric,31.8,-45.4,90.0,top
C16,1uF,C_0805_2012Metric,28.525,-34.45,90.0,top
C17,1uF,C_0805_2012Metric,15.1,-40.216,180.0,top
C18,0.1uF,C_0805_2012Metric,29.4,-49.8025,-90.0,top
C19,1uF,C_0805_2012Metric,31.55,-49.8,-90.0,top
C2,100nF,C_0805_2012Metric,28.95,-28.0,0.0,bottom
C20,0.1uF,C_0805_2012Metric,32.4,-41.6,0.0,top
C21,0.1uF,C_0805_2012Metric,22.2,-33.7,90.0,top
C22,0.1uF,C_0805_2012Metric,29.8,-45.4,-90.0,top
C23,1uF,C_0805_2012Metric,23.6,-51.2,-90.0,top
C3,100nF,C_0805_2012Metric,47.73,-23.676667,180.0,bottom
C4,1uF,C_0805_2012Metric,34.0,-19.75,270.0,bottom
C5,1uF,C_0805_2012Metric,24.25,-24.75,180.0,bottom
C6,100nF,C_0805_2012Metric,37.6,-20.82,270.0,bottom
C7,10pF,C_0805_2012Metric,43.75,-20.825,180.0,bottom
C8,10pF,C_0805_2012Metric,47.725,-20.825,180.0,bottom
C9,0.1uF,C_0805_2012Metric,15.1,-42.462,0.0,top
D2,1N4148W,D_SOD-123,33.25,-33.225,0.0,top
IC1,RP2040_QFN56,RP2040-QFN-56,24.4,-41.125,-90.0,top
J2,Conn_01x03_Pin,JST_XH_B3B-XH-AM_1x03_P2.50mm_Vertical,28.875,-78.9125,180.0,top
J3,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,55.01,-44.95125,90.0,top
J4,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_GCT_USB4110,39.45,-17.385,180.0,top
J5,U.FL,U.FL_Molex_MCRF_73412-0110_Vertical,47.1,-71.25,180.0,top
J6,Conn_02x06_Odd_Even,PinHeader_2x06_P2.54mm_Vertical,42.17,-79.655,90.0,top
Q1,DMN3300U,SOT-23,53.25,-33.6,-90.0,top
Q2,FDN360P,SOT-23,53.45,-21.45,180.0,top
R1,100,R_0805_2012Metric,53.35,-29.6,180.0,top
R10,1k,R_0805_2012Metric,29.0,-43.5,180.0,bottom
R11,20k,R_0805_2012Metric,19.26,-45.2,0.0,bottom
R12,8.2k,R_0805_2012Metric,28.83,-55.61,0.0,bottom
R13,150,R_0805_2012Metric,38.575,-33.05,0.0,bottom
R14,150,R_0805_2012Metric,34.55,-33.075,0.0,bottom
R15,10k,R_0805_2012Metric,40.2,-20.8,90.0,bottom
R16,10K,R_0805_2012Metric,15.08,-46.924,0.0,top
R17,1k,R_0805_2012Metric,15.1575,-38.07,0.0,top
R18,1K,R_0805_2012Metric,47.4,-45.2,0.0,top
R19,10K,R_0805_2012Metric,38.075,-75.55,180.0,top
R2,10k,R_0805_2012Metric,58.0,-31.6,0.0,top
R20,10K,R_0805_2012Metric,15.08,-49.11,180.0,top
R21,22 ohm,R_0805_2012Metric,31.0,-15.15,-90.0,top
R22,22 ohm,R_0805_2012Metric,49.85,-14.6,-90.0,top
R23,5.1K,R_0805_2012Metric,37.7,-23.2,90.0,top
R24,5.1K,R_0805_2012Metric,40.5,-23.2,90.0,top
R25,10K,R_0805_2012Metric,47.4,-41.2,0.0,top
R3,100k,C_0805_2012Metric,53.35,-26.9,0.0,top
R4,10k,C_0805_2012Metric,53.35,-24.35,180.0,top
R5,1k,R_0805_2012Metric,28.2,-74.71,270.0,bottom
R6,100,R_0805_2012Metric,23.67,-45.2,0.0,bottom
R7,1k,R_0805_2012Metric,28.825,-50.6,0.0,bottom
R8,0.1,R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal,15.2,-66.0,-90.0,top
R9,10k,R_0805_2012Metric,32.66,-43.46,0.0,bottom
RESET,RESET,SW_SPST_EVQP2_MiddlePushTravel_H2.5mm,21.6,-72.5,180.0,top
SW1,STM_RESET,SW_SPST_EVQP2_MiddlePushTravel_H2.5mm,38.175,-29.35,0.0,top
U2,Opamp_Quad,TSSOP-14_4.4x5mm_P0.65mm,21.5,-51.8,0.0,bottom
U3,STM32L031F6P6TR,TSSOP-20_4.4x6.5mm_P0.65mm,36.5,-28.25,0.0,bottom
U4,MCP1700x-120xxMB,SOT-89-3_Handsoldering,29.1875,-20.75,0.0,bottom
U5,RFM95W-915S2,HOPERF_RFM9XW_SMD,36.0,-65.25,90.0,top
U6,W25Q16JVSS,SOIC-8_5.3x5.3mm_P1.27mm,40.2625,-44.9075,180.0,top
U7,MT25QL01GBBB8ESF-0SIT,SOIC-16W-12_7.5x10.3mm_P1.27mm,19.105,-26.25,90.0,top
VR1,TPSM861253RDXR,VREG_TPSM861253RDXR,58.15,-28.2,-90.0,top
Y1,Crystal,Crystal_SMD_3215-2Pin_3.2x1.5mm,43.225,-25.0525,90.0,bottom
Y2,Crystal,Crystal_SMD_Abracon_ABM3-2Pin_5.0x3.2mm_HandSoldering,24.55,-32.65,0.0,bottom
